	T_air_sp	CO2_air_sp
3650400	16.0	800.0
3654000	16.0	800.0
3657600	16.0	800.0
3661200	16.0	800.0
3664800	15.92	800.0
3668400	16.0	800.0
3672000	15.92	800.0
3675600	15.92	800.0
3679200	16.0	800.0
3682800	16.0	700.0
3686400	16.0	700.0
3690000	16.0	700.0
3693600	16.0	854.0
3697200	16.0	743.0
3700800	16.0	700.0
3704400	16.0	700.0
3708000	16.0	800.0
3711600	16.0	800.0
3715200	16.0	800.0
3718800	16.0	800.0
3722400	16.0	800.0
3726000	16.0	700.0
3729600	16.0	700.0
3733200	16.0	700.0
3736800	16.0	700.0
3740400	16.0	700.0
3744000	16.0	700.0
3747600	15.92	800.0
3751200	16.0	800.0
3754800	15.98	800.0
3758400	16.0	800.0
3762000	16.0	700.0
3765600	16.0	700.0
3769200	21.0	1400.0
3772800	22.0	1400.0
3776400	23.0	1201.0
3780000	22.0	1495.0
3783600	21.0	1500.0
3787200	20.0	1300.0
3790800	16.0	771.0
3794400	16.0	700.0
3798000	16.0	700.0
3801600	15.88	800.0
3805200	15.92	800.0
3808800	15.96	800.0
3812400	15.98	800.0
3816000	15.92	800.0
3819600	16.0	800.0
3823200	15.98	800.0
3826800	16.0	800.0
3830400	16.0	800.0
3834000	16.0	800.0
3837600	16.0	800.0
3841200	16.0	800.0
3844800	15.98	800.0
3848400	16.0	700.0
3852000	16.0	700.0
3855600	16.0	700.0
3859200	16.0	700.0
3862800	16.0	700.0
3866400	16.0	700.0
3870000	16.0	700.0
3873600	16.0	700.0
3877200	16.0	700.0
3880800	15.46	800.0
3884400	15.98	700.0
3888000	15.98	800.0
3891600	15.98	800.0
3895200	16.0	800.0
3898800	16.0	800.0
3902400	16.0	800.0
3906000	16.0	800.0
3909600	16.0	800.0
3913200	16.0	800.0
3916800	15.98	800.0
3920400	16.0	800.0
3924000	16.0	800.0
3927600	15.98	800.0
3931200	16.0	800.0
3934800	16.0	757.0
3938400	16.0	700.0
3942000	16.0	700.0
3945600	16.0	700.0
3949200	16.0	700.0
3952800	16.0	700.0
3956400	16.0	700.0
3960000	16.0	700.0
3963600	16.0	700.0
3967200	16.0	800.0
3970800	15.96	800.0
3974400	15.98	800.0
3978000	16.0	800.0
3981600	16.0	800.0
3985200	15.98	800.0
3988800	15.96	800.0
3992400	15.98	800.0
3996000	16.0	800.0
3999600	16.0	800.0
4003200	15.98	800.0
4006800	16.0	800.0
4010400	15.98	800.0
4014000	16.0	800.0
4017600	16.0	800.0
4021200	16.0	759.0
4024800	16.0	700.0
4028400	16.0	700.0
4032000	16.0	700.0
4035600	16.0	700.0
4039200	16.0	866.0
4042800	16.0	700.0
4046400	16.0	700.0
4050000	16.0	700.0
4053600	16.0	800.0
4057200	16.0	700.0
4060800	16.0	700.0
4064400	16.0	700.0
4068000	16.0	700.0
4071600	16.0	700.0
4075200	16.0	741.0
4078800	16.0	747.0
4082400	16.0	700.0
4086000	16.0	700.0
4089600	16.0	800.0
4093200	15.92	800.0
4096800	15.92	800.0
4100400	16.0	700.0
4104000	15.92	800.0
4107600	15.92	800.0
4111200	16.0	700.0
4114800	16.0	700.0
4118400	16.0	700.0
4122000	17.0	1400.0
4125600	19.0	1300.0
4129200	16.0	1100.0
4132800	16.0	700.0
4136400	16.0	700.0
4140000	16.0	747.0
4143600	16.0	700.0
4147200	16.0	700.0
